filepath,filename,shortname,samp_type,IS_type,polarity,amendment,depth,startime,timepoint,tripl,cast,station
mzMLs/neg/210813_Smp_Nit-Deep-Eve-T0-A-noIS-neg.mzML,210813_Smp_Nit-Deep-Eve-T0-A-noIS-neg.mzML,Nit-Deep-Eve-T0-A.mzML,Smp,noIS,neg,Nit,Deep,Eve,T0,A,11,2
mzMLs/neg/210813_Smp_Nit-Deep-Eve-T0-A-wIS.mzML,210813_Smp_Nit-Deep-Eve-T0-A-wIS.mzML,Nit-Deep-Eve-T0-A.mzML,Smp,wIS,neg,Nit,Deep,Eve,T0,A,11,2
mzMLs/neg/210813_Smp_Nit-Deep-Eve-T0-B-noIS-neg.mzML,210813_Smp_Nit-Deep-Eve-T0-B-noIS-neg.mzML,Nit-Deep-Eve-T0-B.mzML,Smp,noIS,neg,Nit,Deep,Eve,T0,B,11,2
mzMLs/neg/210813_Smp_Nit-Deep-Eve-T0-B-wIS.mzML,210813_Smp_Nit-Deep-Eve-T0-B-wIS.mzML,Nit-Deep-Eve-T0-B.mzML,Smp,wIS,neg,Nit,Deep,Eve,T0,B,11,2
mzMLs/neg/210813_Smp_Nit-Deep-Eve-T0-C-noIS-neg.mzML,210813_Smp_Nit-Deep-Eve-T0-C-noIS-neg.mzML,Nit-Deep-Eve-T0-C.mzML,Smp,noIS,neg,Nit,Deep,Eve,T0,C,11,2
mzMLs/neg/210813_Smp_Nit-Deep-Eve-T0-C-wIS.mzML,210813_Smp_Nit-Deep-Eve-T0-C-wIS.mzML,Nit-Deep-Eve-T0-C.mzML,Smp,wIS,neg,Nit,Deep,Eve,T0,C,11,2
mzMLs/neg/210813_Smp_Nit-Deep-Eve-T1-A-noIS-neg.mzML,210813_Smp_Nit-Deep-Eve-T1-A-noIS-neg.mzML,Nit-Deep-Eve-T1-A.mzML,Smp,noIS,neg,Nit,Deep,Eve,T1,A,11,2
mzMLs/neg/210813_Smp_Nit-Deep-Eve-T1-A-wIS.mzML,210813_Smp_Nit-Deep-Eve-T1-A-wIS.mzML,Nit-Deep-Eve-T1-A.mzML,Smp,wIS,neg,Nit,Deep,Eve,T1,A,11,2
mzMLs/neg/210813_Smp_Nit-Deep-Eve-T1-B-noIS-neg.mzML,210813_Smp_Nit-Deep-Eve-T1-B-noIS-neg.mzML,Nit-Deep-Eve-T1-B.mzML,Smp,noIS,neg,Nit,Deep,Eve,T1,B,11,2
mzMLs/neg/210813_Smp_Nit-Deep-Eve-T1-B-wIS.mzML,210813_Smp_Nit-Deep-Eve-T1-B-wIS.mzML,Nit-Deep-Eve-T1-B.mzML,Smp,wIS,neg,Nit,Deep,Eve,T1,B,11,2
mzMLs/neg/210813_Smp_Nit-Deep-Eve-T1-C-noIS-neg.mzML,210813_Smp_Nit-Deep-Eve-T1-C-noIS-neg.mzML,Nit-Deep-Eve-T1-C.mzML,Smp,noIS,neg,Nit,Deep,Eve,T1,C,11,2
mzMLs/neg/210813_Smp_Nit-Deep-Eve-T1-C-wIS.mzML,210813_Smp_Nit-Deep-Eve-T1-C-wIS.mzML,Nit-Deep-Eve-T1-C.mzML,Smp,wIS,neg,Nit,Deep,Eve,T1,C,11,2
mzMLs/neg/210813_Smp_Nit-Deep-Eve-T10-A-noIS-neg.mzML,210813_Smp_Nit-Deep-Eve-T10-A-noIS-neg.mzML,Nit-Deep-Eve-T10-A.mzML,Smp,noIS,neg,Nit,Deep,Eve,T10,A,11,2
mzMLs/neg/210813_Smp_Nit-Deep-Eve-T10-A-wIS.mzML,210813_Smp_Nit-Deep-Eve-T10-A-wIS.mzML,Nit-Deep-Eve-T10-A.mzML,Smp,wIS,neg,Nit,Deep,Eve,T10,A,11,2
